title,doi,altmetric_jid,issns1,issns2,journal,cohorts.com,cohorts.pub,cohorts.sci,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,authors7,authors8,authors9,authors10,authors11,authors12,authors13,authors14,authors15,authors16,authors17,type,altmetric_id,schema,is_oa,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.name3,publisher_subjects.scheme1,publisher_subjects.scheme2,publisher_subjects.scheme3,cited_by_posts_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,scopus_subjects1,scopus_subjects2,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,issns,publisher_subjects.name,publisher_subjects.scheme,cited_by_feeds_count,scopus_subjects3,scopus_subjects4,scopus_subjects5,cited_by_msm_count,cohorts.doc,publisher_subjects.name4,publisher_subjects.name5,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.scheme4,publisher_subjects.scheme5,publisher_subjects.scheme6,publisher_subjects.scheme7,handles,handle,pmid,cited_by_wikipedia_count,authors,scopus_subjects,abstract,cited_by_rdts_count,subjects,authors18,authors19,authors20,authors21,authors22,authors23,authors24,publisher_subjects.name8,publisher_subjects.scheme8,cited_by_policies_count,scopus_subjects6,scopus_subjects7,scopus_subjects8,authors25,authors26,authors27,authors28,authors29,authors30,authors31,authors32,authors33,authors34,authors35,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,cited_by_peer_review_sites_count,cited_by_videos_count,cited_by_rh_count,authors52,authors53,authors54,authors55,authors56,authors57,authors58
A stitch in time – Synergistic impacts to platypus metapopulation extinction risk,10.1016/j.biocon.2019.108399,4f6fa4e93cf058f6100023d5,NA,NA,Biological Conservation,NA,51,7,19789905,9.6914921631081,16158,99,19773977,5665,21.524349867608,9,99,5657,356683,13.014395454786,500,99,356196,141,68.303943262411,4,97,138,Gilad Bino,Richard T. Kingsford,Brendan A. Wintle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,74224633,1.5.4,FALSE,Environmental Sciences,Biological Sciences,Agricultural And Veterinary Sciences,era,era,era,171,58,1,156,1610376929,761.178,22.08,0,0,0,0,0,0,0,0,0,0,761.178,http://dx.doi.org/10.1016/j.biocon.2019.108399,1579424501,1580515200,Physical Sciences,Environmental Science,0,29,0,29,https://badges.altmetric.com/?size=64&score=762&types=mmmbttwf,https://badges.altmetric.com/?size=100&score=762&types=mmmbttwf,https://badges.altmetric.com/?size=180&score=762&types=mmmbttwf,http://www.altmetric.com/details.php?citation_id=74224633,0006-3207,NA,NA,11,Life Sciences,Agricultural and Biological Sciences,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modelling the climate suitability of green carpenter bee (Xylocopa aerata ) and its nesting hosts under current and future scenarios to guide conservation efforts,10.1111/aec.12853,4f6fa4e93cf058f61000236a,NA,NA,Austral Ecology,1,4,1,18200907,9.5320450569821,615765,96,17584933,1053,7.6746457739791,30,97,1024,399341,13.100582424544,21272,94,378039,22,14.011363636364,3,90,20,Abraão Almeida Santos,Remko Leijs,Marcelo Coutinho Picanço,Richard Glatz,Katja Hogendoorn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,73830660,1.5.4,FALSE,Environmental Sciences,Biological Sciences,NA,era,era,NA,12,6,NA,11,1594374621,43.1,0,0,0,0,0,0,0,0,0,0,0,43.1,http://dx.doi.org/10.1111/aec.12853,1578648458,1578528000,Physical Sciences,Environmental Science,0,14,0,14,https://badges.altmetric.com/?size=64&score=44&types=mmmmtttt,https://badges.altmetric.com/?size=100&score=44&types=mmmmtttt,https://badges.altmetric.com/?size=180&score=44&types=mmmmtttt,http://www.altmetric.com/details.php?citation_id=73830660,1442-9985,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biotic and abiotic drivers of evolution in some Australian thornbills (Passeriformes: Acanthiza ) in allopatry, sympatry, and parapatry including a case of character displacement",10.1111/jzs.12355,4f6fa4f73cf058f610002fa8,0947-5745,1439-0469,Journal of Zoological Systematics & Evolutionary Research,NA,NA,NA,18068324,9.5344866082773,4581079,74,13406103,455,7.4213406593407,134,70,319,282762,20.35400513506,88626,68,192907,2,3.35,2,50,1,Amelia Coman,Sally Potter,Craig Moritz,Catriona D. Campbell,Leo Joseph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,79827446,1.5.4,FALSE,Evolutionary Biology,Zoology,NA,era,era,NA,1,NA,NA,1,1609541220,5.08,5.08,0,0,0,0,0,0,0,0,0,0,5.08,http://dx.doi.org/10.1111/jzs.12355,1586939948,1578873600,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0,10,0,10,https://badges.altmetric.com/?size=64&score=6&types=bbbbbbbb,https://badges.altmetric.com/?size=100&score=6&types=bbbbbbbb,https://badges.altmetric.com/?size=180&score=6&types=bbbbbbbb,http://www.altmetric.com/details.php?citation_id=79827446,NA,NA,NA,1,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermal germination niches of Persoonia species and projected spatiotemporal shifts under a changing climate,10.1111/ddi.13040,4f6fa4eb3cf058f610002724,1366-9516,1472-4642,Diversity & Distributions,1,NA,NA,17027788,9.2977555144535,13580629,11,1980696,1321,13.85595003785,1184,3,45,263236,17.042499437766,191694,16,43900,28,26.073714285714,27,1,0,Katharine Catelotti,Gilad Bino,Cathy A. Offord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,76417017,1.5.4,FALSE,Environmental Sciences,Biological Sciences,NA,era,era,NA,1,1,NA,1,1582233325,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.1111/ddi.13040,1582233339,1582070400,Agricultural and Biological Sciences,Life Sciences,0,17,0,17,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=76417017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Influence of climate-induced biogeographic range shifts on mudflat ecological functioning in the subtropics,10.1016/j.ecss.2020.106692,4f6fa4eb3cf058f610002805,NA,NA,Estuarine Coastal & Shelf Science,NA,3,NA,17913039,9.4889201937202,10361292,41,7382731,2738,4.1387647918188,1288,52,1427,296008,19.772745716332,149575,47,141921,66,2.914696969697,23,63,42,Bryony A. Caswell,Navodha G. Dissanayake,Christopher L.J. Frid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,83635682,1.5.4,FALSE,Earth Sciences,Environmental Sciences,Biological Sciences,era,era,era,3,3,NA,3,1591630633,1.85,0,0,0,0,0,0,0,0,0,0,0,1.85,http://dx.doi.org/10.1016/j.ecss.2020.106692,1591650206,1588291200,Physical Sciences,Life Sciences,0,15,0,15,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,http://www.altmetric.com/details.php?citation_id=83635682,0272-7714,NA,NA,NA,Agricultural and Biological Sciences,Earth and Planetary Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flies on vacation: evidence for the migration of Australian Syrphidae (Diptera),10.1111/een.12856,4f6fa4eb3cf058f61000275e,0307-6946,1365-2311,Ecological Entomology,4,15,10,19486479,9.6822998917405,886930,95,18599449,1471,7.1060013596193,47,96,1425,280566,18.204351753241,22785,91,257782,36,8.3169444444444,2,97,35,Jonathan T. D. Finch,James M. Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,77319918,1.5.4,FALSE,Ecology,Zoology,Ecological Applications,era,era,era,33,29,NA,31,1606260448,30.928,0,0,0,0,0,0,0,0,0,0,0,30.928,http://dx.doi.org/10.1111/een.12856,1583890125,1583712000,Physical Sciences,Environmental Science,0,27,0,27,https://badges.altmetric.com/?size=64&score=31&types=bttttttt,https://badges.altmetric.com/?size=100&score=31&types=bttttttt,https://badges.altmetric.com/?size=180&score=31&types=bttttttt,http://www.altmetric.com/details.php?citation_id=77319918,NA,NA,NA,2,Life Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959.7/uws:56010,1959.7/uws:56010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prioritising search effort to locate previously unknown populations of endangered marine reptiles,10.1016/j.gecco.2020.e01013,537f30862a83eeb45a8b45c4,NA,NA,Global Ecology and Conservation,3,28,22,19148527,9.6304695455696,855939,95,18291905,1027,20.164574488802,131,87,897,279394,18.357948753373,22455,91,256912,52,15.985730769231,10,82,43,Vinay Udyawer,Ruchira Somaweera,Charlotte Nitschke,Blanche d’Anastasi,Kate Sanders,Bruce L. Webber,Mathew Hourston,Michelle R. Heupel,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,77522404,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,73,53,NA,53,1618742719,31.35,1.25,0,0,0,0,0,0,0,0,0,0,31.35,http://dx.doi.org/10.1016/j.gecco.2020.e01013,1584228989,1590969600,NA,NA,0,19,0,19,https://badges.altmetric.com/?size=64&score=32&types=tttttttt,https://badges.altmetric.com/?size=100&score=32&types=tttttttt,https://badges.altmetric.com/?size=180&score=32&types=tttttttt,http://www.altmetric.com/details.php?citation_id=77522404,2351-9894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swamp wallaby (Wallabia bicolor) distribution has dramatically increased following sustained biological control of rabbits,10.1071/am19037,4f6fa60d3cf058f610006bb2,NA,NA,Australian Mammalogy,NA,1,NA,19458329,9.6752712189254,516894,97,18940530,322,11.411527950311,15,95,307,335646,15.623092353253,13706,95,321940,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,108863813,1.5.4,FALSE,Ecology,Zoology,NA,era,era,NA,8,1,NA,8,1634817950,56,56,56,53,0,0,0,0,0,0,0,0,56,http://dx.doi.org/10.1071/am19037,1625651816,1577836800,Life Sciences,Agricultural and Biological Sciences,0,1,0,1,https://badges.altmetric.com/?size=64&score=56&types=mmmmmmmt,https://badges.altmetric.com/?size=100&score=56&types=mmmmmmmt,https://badges.altmetric.com/?size=180&score=56&types=mmmmmmmt,http://www.altmetric.com/details.php?citation_id=108863813,0310-0049,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B. D. Cooke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Testing the utility of species distribution modelling using Random Forests for a species in decline,10.1111/aec.12884,4f6fa4e93cf058f61000236a,NA,NA,Austral Ecology,1,15,6,17525923,9.4061877138251,1764867,89,15748500,1005,7.6275562189055,150,85,857,279093,19.684238501144,45666,83,233200,19,14.839473684211,6,73,14,Phoebe A. Burns,Nick Clemann,Matt White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,78643198,1.5.4,FALSE,Environmental Sciences,Biological Sciences,NA,era,era,NA,25,22,NA,22,1587874337,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,http://dx.doi.org/10.1111/aec.12884,1585725626,1585094400,Physical Sciences,Environmental Science,0,18,0,18,https://badges.altmetric.com/?size=64&score=13&types=tttttttt,https://badges.altmetric.com/?size=100&score=13&types=tttttttt,https://badges.altmetric.com/?size=180&score=13&types=tttttttt,http://www.altmetric.com/details.php?citation_id=78643198,1442-9985,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Origin and dispersal of Homalictus (Apoidea: Halictidae) across Australia, Papua New Guinea and Pacific",10.1080/03721426.2020.1740957,554b86672a83ee864e8b4584,0372-1426,2204-0293,Transactions of the Royal Society of South Australia ,NA,NA,NA,18226033,9.5382114516057,525364,97,17700701,70,5.1484571428571,2,97,68,231390,22.120283192878,14085,93,217302,1,0,1,1,0,Sentiko Ibalim,Scott V.C. Groom,James B. Dorey,Alejandro Velasco-Castrillon,Michael P. Schwarz,Mark I. Stevens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,79888147,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,9,NA,1,8,1594755900,51.33,0,0,0,0,0,0,0,0,0,0,0,51.33,http://dx.doi.org/10.1080/03721426.2020.1740957,1587021159,1584921600,NA,NA,0,9,0,9,https://badges.altmetric.com/?size=64&score=52&types=mmmmmmbf,https://badges.altmetric.com/?size=100&score=52&types=mmmmmmbf,https://badges.altmetric.com/?size=180&score=52&types=mmmmmmbf,http://www.altmetric.com/details.php?citation_id=79888147,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The geography of speciation in dasyurid marsupials,10.1111/jbi.13852,4f6fa4ef3cf058f610002cc5,0305-0270,1365-2699,Journal of Biogeography,1,4,5,17457801,9.3981174206274,4271440,75,13167864,2561,9.5340234283483,1017,60,1542,280231,20.258613686565,85076,69,194698,50,16.74084,37,28,14,Vicente García‐Navas,Benjamin P. Kear,Michael Westerman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,79837616,1.5.4,FALSE,Earth Sciences,Environmental Sciences,Biological Sciences,era,era,era,10,10,NA,10,1587060206,5.35,0,0,0,0,0,0,0,0,0,0,0,5.35,http://dx.doi.org/10.1111/jbi.13852,1586948459,1586736000,Physical Sciences,Environmental Science,0,18,0,18,https://badges.altmetric.com/?size=64&score=6&types=tttttttt,https://badges.altmetric.com/?size=100&score=6&types=tttttttt,https://badges.altmetric.com/?size=180&score=6&types=tttttttt,http://www.altmetric.com/details.php?citation_id=79837616,NA,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Testing the environmental warming responses of Brachyscome daisy species using a common garden approach,10.1111/aec.12885,4f6fa4e93cf058f61000236a,NA,NA,Austral Ecology,NA,5,NA,18829177,9.5799645972819,5832204,68,12976906,1093,7.6451985361391,428,60,664,287173,20.303290594867,109672,61,176900,19,14.978947368421,11,47,9,Megan J. Hirst,Philippa C. Griffin,Li-Hsin Wu,Ary A. Hoffmann,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,79694026,1.5.4,FALSE,Environmental Sciences,Biological Sciences,NA,era,era,NA,7,5,NA,5,1599465660,3.45,0,0,0,0,0,0,0,0,0,0,0,3.45,http://dx.doi.org/10.1111/aec.12885,1586791663,1585440000,Physical Sciences,Environmental Science,0,5,0,5,https://badges.altmetric.com/?size=64&score=4&types=tttttttt,https://badges.altmetric.com/?size=100&score=4&types=tttttttt,https://badges.altmetric.com/?size=180&score=4&types=tttttttt,http://www.altmetric.com/details.php?citation_id=79694026,1442-9985,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impacts of climate change on geographical distributions of invasive ascidians,10.1016/j.marenvres.2020.104993,4f6fa5003cf058f61000304d,NA,NA,Marine Environmental Research,NA,1,NA,17595144,9.4194503898398,1986645,88,15597999,1361,6.4334577516532,220,83,1141,283037,21.078471528457,51608,81,231191,32,6.6340625,6,84,27,Zhixin Zhang,César Capinha,Dirk N. Karger,Xavier Turon,Hugh J. MacIsaac,Aibin Zhan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,80889890,1.5.4,FALSE,Chemical Sciences,Environmental Sciences,Biological Sciences,era,era,era,2,1,NA,2,1588239880,11.25,0,0,0,0,0,0,0,0,0,0,0,11.25,http://dx.doi.org/10.1016/j.marenvres.2020.104993,1588244998,1593561600,Physical Sciences,Environmental Science,0,61,0,61,https://badges.altmetric.com/?size=64&score=12&types=bbbbtttt,https://badges.altmetric.com/?size=100&score=12&types=bbbbtttt,https://badges.altmetric.com/?size=180&score=12&types=bbbbtttt,http://www.altmetric.com/details.php?citation_id=80889890,0141-1136,NA,NA,1,Agricultural and Biological Sciences,Earth and Planetary Sciences,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32662432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combined Analyses of Phenotype, Genotype and Climate Implicate Local Adaptation as a Driver of Diversity in Eucalyptus microcarpa (Grey Box)",10.3390/f11050495,4f6fa6063cf058f6100067b0,NA,NA,Forests,1,1,NA,17854173,9.478582515922,11183796,35,6297697,2718,3.4845857247976,1337,48,1320,287065,20.205751171337,165287,39,113324,25,5.2552,16,40,10,Rebecca Jordan,Suzanne M. Prober,Ary A. Hoffmann,Shannon K. Dillon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,81946108,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,2,2,NA,2,1591050329,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,http://dx.doi.org/10.3390/f11050495,1589379592,1588032000,NA,NA,0,14,0,14,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,http://www.altmetric.com/details.php?citation_id=81946108,1999-4907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Invasive weed species’ threats to global biodiversity: Future scenarios of changes in the number of invasive species in a changing climate,10.1016/j.ecolind.2020.106436,4f6fa4eb3cf058f61000275f,NA,NA,Ecological Indicators,NA,4,1,19391966,9.6692254203634,460964,97,18931897,2752,6.4192565406977,32,98,2721,296930,20.760373697504,14786,95,282147,90,4.9562222222222,2,98,89,Farzin Shabani,Mohsen Ahmadi,Lalit Kumar,Samaneh Solhjouy-fard,Mahyat Shafapour Tehrany,Fariborz Shabani,Bahareh Kalantar,Atefeh Esmaeili,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,82239643,1.5.4,FALSE,Chemical Sciences,Environmental Sciences,Biological Sciences,era,era,era,19,5,NA,14,1625573253,62.66,8.08,8.08,0,0,0,0,0,0,0,0,0,62.66,http://dx.doi.org/10.1016/j.ecolind.2020.106436,1589791364,1598918400,Decision Sciences,Physical Sciences,0,65,0,65,https://badges.altmetric.com/?size=64&score=63&types=mmmbtttd,https://badges.altmetric.com/?size=100&score=63&types=mmmbtttd,https://badges.altmetric.com/?size=180&score=63&types=mmmbtttd,http://www.altmetric.com/details.php?citation_id=82239643,1470-160X,NA,NA,2,Environmental Science,Agricultural and Biological Sciences,Social Sciences,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comparing maximum entropy modelling methods to inform aquaculture site selection for novel seaweed species,10.1016/j.ecolmodel.2020.109071,4f6fa4eb3cf058f610002761,NA,NA,Ecological Modelling,NA,3,1,17788816,9.4623235612777,9765237,44,7931573,1848,4.2930497835498,1057,42,778,293860,20.483237555298,135265,53,155837,19,5.6415789473684,13,36,7,Kathryn H Wiltshire,Jason E Tanner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,82536095,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,4,4,NA,4,1590269965,2.35,0,0,0,0,0,0,0,0,0,0,0,2.35,http://dx.doi.org/10.1016/j.ecolmodel.2020.109071,1590135825,1596240000,Physical Sciences,Environmental Science,0,21,0,21,https://badges.altmetric.com/?size=64&score=3&types=tttttttt,https://badges.altmetric.com/?size=100&score=3&types=tttttttt,https://badges.altmetric.com/?size=180&score=3&types=tttttttt,http://www.altmetric.com/details.php?citation_id=82536095,0304-3800,Multidisciplinary,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
