Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags
JUQYNTTD,conferencePaper,2021,"Bazyari, N.; Sajedi, H.",A Reconcile of Density Based and Hierarchical Clustering Based on the Laws of Physics,15th International Conference on Ubiquitous Information Management and Communication (IMCOM),,,10.1109/IMCOM51814.2021.9377417,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9377417,In this paper a new approach toward data processing is proposed that is inspired by all the prominent data clustering algorithms proposed by scholars. The main motif that drove this approach was to mix hierarchical clustering methods with Gaussian Estimators as to find a hidden structure in data that was not reachable using traditional bandwidth estimators. Instead the criteria for assessing similarity among data was the principles for Newtonian Physics.,2021,5/5/2021 4:22,5/5/2021 4:23,,1-Aug,,,,NA,,,,NA,NA,,,,not specified,,,,,Scopus,,10.1109/IMCOM51814.2021.9377417,NA,C:\Users\KEL329\Zotero\storage\ANLBDI4B\Bazyari and Sajedi - 2021 - A Reconcile of Density Based and Hierarchical Clus.pdf,,1 - ALA used; Species occurrence records
3P6QK4B8,newspaperArticle,2021,"Gillespie, K.",Platypus lesson marks wider push to protect the vulnerable species,The Standard,,,,https://www.standard.net.au/story/7236319/platypus-lesson-marks-wider-push-to-protect-the-vulnerable-species/,"Everyone can help conserve the species, and it just takes a few minutes.",2021,5/5/2021 2:54,5/5/2021 2:56,5/5/2021 2:54,,,,,NA,,,,NA,NA,,,"Warrnambool, Vic",not specified,,,,,ProQuest,,-,NA,C:\Users\KEL329\Zotero\storage\BMWCVCTW\Gillespie - 2021 - Platypus lesson marks wider push to protect the vu.pdf,,5 - ALA mentioned
AFELM3YU,document,2021,"Smales, I.","Review of the values for Blue-billed Duck of an existing wetland at 609-621 Burwood Highway, Knoxfield and proposed new wetlands at the site",,,,,"https://www.development.vic.gov.au/__data/assets/pdf_file/0006/79503/Knoxfield_-_Wetland_Proposal_Expert_Advice,_Biosis_.pdf","Biosis Pty Ltd was commissioned by Allens Lawyers on behalf of Development Victoria to provide a review of information contained in various reports pertaining to the values of an existing wetland at 609-621 Burwood Highway, Knoxfield and proposed new wetlands at the site to the Blue-billed Duck Oxyura australis. The review has been prepared by Ian Smales. The fundamental matters covered by this review relate to the proposal by Development Victoria to remove the existing wetland and to create a wetland complex to its north, within the northern extremity of the subject land that will function for the purposes of water management for re-development of the greater site. The newly created wetlands are proposed to be designed and built to provide habitat of value to a range of indigenous flora and fauna including the Blue-billed Duck.",2021,5/5/2021 2:15,5/5/2021 2:16,,,,,,NA,,,,NA,NA,,Biosis Pty Ltd,,not specified,,,,,GS 2021,,-,NA,C:\Users\KEL329\Zotero\storage\F4SDSPDI\Smales - 2021 - Review of the values for Blue-billed Duck of an ex.pdf,,2 - ALA cited
M5N7UEBZ,newspaperArticle,2021,"Webster, M.",Silver Banksia: A vital missing tree in our forests,The Border Mail,,,,https://www.bordermail.com.au/story/7235994/silver-banksia-a-vital-missing-tree-in-our-forests-living-lightly/,The Atlas of Living Australia map shows only a sparse distribution of Banksia marginatas in North East Victoria today,2021,5/5/2021 2:10,5/5/2021 2:11,,,,,,NA,,,,NA,NA,,,,not specified,,,,,Google News,,-,NA,C:\Users\KEL329\Zotero\storage\G6NNFWXX\Webster - 2021 - Silver Banksia A vital missing tree in our forest.pdf,,2 - ALA cited
BLAJY63K,report,2020,"Rabitsch, W.; Adriaens, T.; Bacher, S.; Booy, O.; Chapman, D.; Genovesi, P.; Moore, N.; Scalera, R.","Study on Invasive Alien Species -  Development of risk assessments to tackle priority species and enhance prevention - Annex 8: Risk Assessment for Trichosurus vulpecula (Kerr, 1792)",,,,,https://www.researchgate.net/publication/341491223,"Evidence-based assessments of the risks posed by invasive alien species (IAS) are critical to underpin policies and prioritise action. Over the last three years, a template for producing structured risk assessments has been developed and tested for thirty selected species spanning various taxonomic groups across marine, terrestrial and freshwater environments. Here we present ten risk assessments and associated management annexes for IAS produced over the last year. The selected species were Channa argus (northern snakehead), Ameiurus melas (black bullhead), Ameiurus nebulosus (brown bullhead), Wasmannia auropunctata (little fire ant), Axis axis (chital), Pycnonotus cafer (red-vented bulbul), Fallopia baldschuanica (Russian vine), Phytolacca americana (American pokeweed), Boccardia proboscidea (polychaete worm), Schizoporella japonica (orange ripple bryozoan). The risk assessments and associated management annexes were produced alongside tasks to develop and maintain a risk assessment template and to collect evidence on management techniques, implementation costs and cost-effectiveness. A two-day workshop was held to finalise the risk assessments following peer-review. The risk assessments will be used as evidence to inform whether the target species should be considered for inclusion on the list of invasive alien species of Union concern under Regulation (EU) 1143/2014 on the prevention and management of the introduction and spread of invasive alien species (the IAS Regulation).",2020,5/5/2021 0:42,22/3/2023 4:55,,,,,,NA,,,,NA,NA,,,"Brussels, Belgium",not specified,,,,,GS 2021,,10.2779/56374,NA,C:\Users\KEL329\Zotero\storage\ADJ83W7W\Rabitsch et al. - 2020 - Study on Invasive Alien Species –  Development of .pdf,,1 - ALA used; Species occurrence records; Contact for data DOI; Modelling
DY8M5EKD,report,2021,"Kriesner, P.; Weeks, A.",Assessing genetic risks to Victorian flora and fauna,,,,,https://www.environment.vic.gov.au/__data/assets/pdf_file/0029/518492/Genetic-Risk-Index-Report.pdf,-,2021,5/5/2021 0:39,22/3/2023 4:56,,58,,,,NA,,,,NA,NA,,,"Parkville, Australia",English,,,,,GS 2021,,-,NA,C:\Users\KEL329\Zotero\storage\9SFUQNHS\Kriesner and Weeks - Assessing genetic risks to Victorian flora and fau.pdf,,1 - ALA used; Species occurrence records; Contact for data DOI
B88T24KM,report,2021,"Price, A.; Mengersen, K.; Davis, C.; Thomas, E.",AusEnHealth - An Australian environmental health digital twin,,,,,https://frontiersi.com.au/wp-content/uploads/2021/04/AusEnHealth-Data-Audit_Final.pdf,"Environmental health encompasses physical, chemical, and biological factors in the environment that potentially or currently have an impact on the health of individuals and populations, as well as the communities in which people live. The importance of environmental health has been on the rise since the call for national coordination in the field by the Australian Environmental Health Standing Committee (enHealth) in 2000. Since then, there have been a number of achievements towards the enHealth Strategic Plan, leading up to the commencement of the Australian Environmental Health Project (AusEnHealth). AusEnHealth aims to build a national, spatially enabled, ongoing infrastructure resource that will enable users to access, visualise and analyse environmental health data, reports, and models. As part of the first steps of the AusEnHealth Project, both international and national resources were reviewed to identify a preliminary list of environmental health indicators and parameters. Following on from that review, this report contains findings from a data audit to identify the most valuable data to underpin the AusEnHealth infrastructure. As part of this audit, the metadata have been recorded, where available, including timescale, update frequency, spatial resolution, data file format, geographical extent, and access restrictions. In the first phase, a focus has been placed on the identification of data with a national coverage, while also building a collection of state-based data sources for future consideration. This data audit focused on data pertaining to 5 key use cases:",2021,5/5/2021 0:28,5/5/2021 0:32,,,,,,NA,,,,NA,NA,,Queensland University of Technology,"Brisbane, Australia",not specified,,,,,GS 2021,,-,NA,C:\Users\KEL329\Zotero\storage\K22Z2BRR\AusEnHealth-Data-Audit_Final.pdf,,
KNWJISTC,report,2020,"Rees, G.; Oberprieler, S.; Nielsen, D.; Watson, G.; Shackleton, M.","Characterisation of the stygofauna and microbial assemblages of the Beetaloo Sub-basin, Northern Territory",,,,,https://gisera.csiro.au/wp-content/uploads/2021/02/GISERA-Project18-Stygofauna_final-report-20201208.pdf,,2020,25/2/2021 3:53,22/3/2023 4:57,,67,,,,NA,,,,NA,NA,,CSIRO,Australia,English,,,,,GS 2021,,-,NA,C:\Users\KEL329\Zotero\storage\I7Q68A96\Rees et al. - Characterisation of the stygofauna and microbial a.pdf,,2 - ALA cited
79PJQHF9,book,2021,"Wells, F.; Sanpanich, K.; Tan, S.K.; Duangdee, T.",The Marine and Estuarine Molluscs of Thailand,,9.78981E+12,,,https://lkcnhm.nus.edu.sg/wp-content/uploads/sites/10/2021/01/LKCNHM-EBOOK-2021-0001.pdf,"Thailand is a large Southeast Asian country on the margin of the biodiverse coral triangle. It has a 3,299 km coastline on both the Gulf of Thailand in the Pacific Ocean and the Andaman Sea in the Indian Ocean. An extensive literature and internet search documented over 15,000 records of 3,359 species of Thai marine and estuarine molluscs. Records of 137 species are considered to be incorrect or dubious as their known ranges do not include Southeast Asia. The remaining 3,222 species include 1,963 gastropods, 1,116 bivalves, 129 cephalopods, seven polyplacophorans and seven scaphopods; no records were found of monoplacophorans or aplacophorans. Most records cannot be verified through specimens lodged in museums. The taxonomy of all species has been updated to their current status. Previous names used, occurrence on the Gulf of Thailand and/or Andaman Sea coast, and literature records and notes (if any) are provided for each species. Two invasive species, the mussels Mytilopsis sallei (Recluz, 1849) and Mytella strigata (Hanley, 1843), are known to have been introduced to Thailand, but there may be more introduced species that have not yet been detected. Strategies to further document the marine and estuarine molluscs of Thailand are proposed.",2021,10/2/2021 6:49,6/4/2021 3:58,,,,,,NA,,,,NA,NA,,Lee Kong Chian Natural History Museum,Singapore,not specified,,,958858e0-4bbe-3d99-a766-9a767cb5e901,,GS 2021,,10.26107/LKCNHM-EBOOK-2021-0001,NA,C:\Users\KEL329\Zotero\storage\VJBJYRI6\Wells et al. - 2021 - The Marine and Estuarine Molluscs of Thailand.pdf,,2 - ALA cited
LF5L222G,report,2017,"Skerratt, L.F.; Martin, G.",Models that predict risk of Hendra virus transmission from flying foxes to horses,,,,,http://www.agrifutures.com.au/publications/models-that-predict-risk-for-hendra-virus-transmission-from-flying-fox-to-horses/,,2017,28/2/2018 5:37,22/3/2023 4:13,,,,,,NA,,,,NA,NA,,AgriFutures Australia,"Wagga Wagga, Australia",not specified,,,,,GS 2017,,-,NA,C:\Users\KEL329\Zotero\storage\W3WAJG2K\Skerratt and Martin - 2017 - Models that predict risk of Hendra virus transmiss.pdf,,1 - ALA used; Species occurrence records
ZKYLBHZ3,report,2016,"Vanderduys, E.",Mungalla Terrestrial Fauna Survey,,,,,https://www.mungallaaboriginaltours.com.au/images/documents/fauna_study_2016.pdf,,2016,28/2/2018 5:37,22/3/2023 4:19,,,,,,NA,,,,NA,NA,,CSIRO Land and Water Flagship,"Canberra, Australia",not specified,,,,,GS 2016,,-,NA,C:\Users\KEL329\Zotero\storage\HXH76IGN\Vanderduys - 2016 - Mungalla Terrestrial Fauna Survey.pdf,,1 - ALA used; Survey Planning
XF676CCF,report,2014,"Stevenson, K.",Amphibian colonization of the artificial water body Tweed Sands Lake,,,,,https://www.quarrylifeaward.com/projects/australia/amphibian-colonization-artificial-water-body-tweed-sands-lake,,2014,28/2/2018 5:37,22/3/2023 4:23,,,,,,NA,,,,NA,NA,,,Australia,not specified,,,,,GS 2014,,-,NA,C:\Users\KEL329\Zotero\storage\ZL2XS4VK\Stevenson - 2014 - Amphibian colonization of the artificial water bod.pdf,,1 - ALA used; Species lists; Survey Planning
WR2Z2T7F,report,2012,"Trembath, D.; Reilly, T.","Dry Season Fauna Survey Old Pirate Prospect, Tanami Deset, NT",,,,,https://ntepa.nt.gov.au/__data/assets/pdf_file/0019/290800/noi_twin_bonanza_appendix_b.pdf,,2012,28/2/2018 5:36,22/3/2023 4:24,,,,,,NA,,,,NA,NA,,EcOz Pty Ltd.,"Darwin, Australia",not specified,,,,,GS 2012,,-,NA,"C:\Users\KEL329\Zotero\storage\GKCHE6CA\Trembath and Reilly - 2012 - Dry Season Fauna Survey Old Pirate Prospect, Tanam.pdf",,1 - ALA used; Species lists
JKYVFRRB,report,2012,"Smith, K.",Lyme Disease/Borreliosis An Overview of Lyme and Direction for Further Research Required in Australia,,,,,https://www.lymeaustralia.com/uploads/8/0/2/7/8027024/lyme_disease-__borreliosis_an_overview_of_lyme_and_direction_for_further_research_required_in_australia.pdf,,2012,28/2/2018 5:37,22/3/2023 4:27,,,,,,NA,,,,NA,NA,,Lyme Australia Recognition and Awareness,"Sarina, Australia",not specified,,,,,GS 2017,,-,NA,C:\Users\KEL329\Zotero\storage\8M75NFKA\Smith - 2012 - Lyme DiseaseBorreliosis An Overview of Lyme and D.pdf,,2 - ALA cited
TBJANNRW,thesis,2017,"Hirst, M.",Exploring adaptation in a key Australian genus Brachyscome through experimentation,,,,,http://hdl.handle.net/11343/198008,,2017,28/2/2018 6:04,20/2/2021 2:52,,,,,,NA,,,,NA,NA,,University of Melbourne,,not specified,,,,,GS 2017,,-,NA,C:\Users\KEL329\Zotero\storage\Z6AQED33\PhD_Thesis_Megan_Hirst_107436_29012018.pdf,,1 - ALA used; Species occurrence records; AVH
97MCEWBK,thesis,2017,"Smissen, P. J.","Evolutionary biology of Australia's rodents, the Pseudomys and Conilurus Species Groups",,,,,https://minerva-access.unimelb.edu.au/handle/11343/194269,,2017,28/2/2018 6:07,20/2/2021 2:51,,,,,,NA,,,,NA,NA,,University of Melbourne,,not specified,,,,,GS 2017,,-,NA,C:\Users\KEL329\Zotero\storage\969DG4IR\Psmissen PhD Thesis  (002).pdf,,1 - ALA used; Climate Data
GRU5CTT8,report,2015,"Schulz, M.",Wildlife of Killalea State Park,,,,,,,2015,28/2/2018 5:37,22/3/2023 4:28,,,,,,NA,,,,NA,NA,,NSW Office of Environment and Heritage,Australia,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\KK8JAMV3\Schulz - 2015 - Wildlife of Killalea State Park.pdf,,2 - ALA cited
