doi,best_oa_location,oa_locations,oa_locations_embargoed,data_standard,is_oa,is_paratext,genre,oa_status,has_repository_copy,journal_is_oa,journal_is_in_doaj,journal_issns,journal_issn_l,journal_name,publisher,published_date,year,title,updated_resource,authors
10.1371/journal.pcbi.1009874,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1553-7358,1553-734X,PLOS Computational Biology,Public Library of Science (PLoS),2022-02-16,2022,Near-term forecasting of companion animal tick paralysis incidence: An iterative ensemble model,2022-03-03T12:11:47.546999,
10.1111/1365-2664.14138,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0021-8901,1365-2664",0021-8901,Journal of Applied Ecology,Wiley,2022-02-14,2022,"Drivers of the Australian native pet trade: the role of species traits, socioeconomic attributes and regulatory systems",2022-06-09T00:34:41.386086,
10.1093/icesjms/fsac025,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1054-3139,1095-9289",1054-3139,ICES Journal of Marine Science,Oxford University Press (OUP),2022-01-01,2022,OUP accepted manuscript,2022-02-03T21:01:43.887543,
10.20938/afo39012018,,,,2,TRUE,FALSE,journal-article,bronze,FALSE,FALSE,FALSE,NA,NA,Australian Field Ornithology,"BirdLife Australia, Ltd.",2022-01-01,2022,Nests and eggs of the Chestnut-backed Button-quail Turnix castanotus: Two new nests and a review of previous descriptions,2022-02-15T22:44:32.567918,
10.3389/fmars.2021.733841,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2296-7745,2296-7745,Frontiers in Marine Science,Frontiers Media SA,2022-02-14,2022,"Dolphin Distribution and Habitat Suitability in North Western Australia: Applications and Implications of a Broad-Scale, Non-targeted Dataset",2022-03-19T09:29:33.253629,
10.1016/j.ecoinf.2022.101598,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,1574-9541,1574-9541,Ecological Informatics,Elsevier BV,2022-07-01,2022,Tag Frequency Difference: Rapid estimation of image set relevance for species occurrence data using general-purpose image classifiers,2022-07-24T11:10:16.842913,
10.1111/icad.12569,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"1752-458X,1752-4598",1752-458X,Insect Conservation and Diversity,Wiley,2022-02-10,2022,A global review of determinants of native bee assemblages in urbanised landscapes,2022-06-11T06:32:53.378954,
10.3897/rio.6.e55522,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2367-7163,2367-7163,Research Ideas and Outcomes,Pensoft Publishers,2020-07-03,2020,Technical capacities of digitisation centres within ICEDIG participating institutions,2022-09-06T14:17:31.340369,
10.1089/bio.2021.0127,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1947-5535,1947-5543",1947-5543,Biopreservation and Biobanking,Mary Ann Liebert Inc,2022-02-07,2022,Challenges on the Development of Biodiversity Biobanks: The Living Archives of Biodiversity,2022-02-09T21:03:56.179416,
10.1016/j.biocon.2022.109470,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,0006-3207,0006-3207,Biological Conservation,Elsevier BV,2022-03-01,2022,COVID restrictions impact wildlife monitoring in Australia,2022-02-24T14:57:53.875095,
10.1111/aec.13143,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1442-9985,1442-9993",1442-9985,Austral Ecology,Wiley,2022-01-22,2022,"The diet of a specialist nectarivore in Australia: The little red flying‐fox ( <i>Pteropus scapulatus</i> , Pteropodidae)",2022-11-20T08:13:23.643104,
10.1002/aqc.3769,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1052-7613,1099-0755",1052-7613,Aquatic Conservation: Marine and Freshwater Ecosystems,Wiley,2022-01-25,2022,"Factors affecting seabird abundance and interaction with the nearshore ‘for hire’ recreational charter fishery in New South Wales, Australia",2022-01-27T21:07:42.075982,
10.1093/zoolinnean/zlaa184,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0024-4082,1096-3642",0024-4082,Zoological Journal of the Linnean Society,Oxford University Press (OUP),2021-02-03,2021,Morphological phylogenetics provide new insights into the classification and evolution of fossil soldier beetles from Mid-Cretaceous Burmese amber (Coleoptera: Cantharidae),2022-09-19T13:21:22.463599,
10.3389/fevo.2021.809576,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2296-701X,2296-701X,Frontiers in Ecology and Evolution,Frontiers Media SA,2022-01-14,2022,Key Issues for Realizing Open Ecoacoustic Monitoring in Australia,2022-09-07T18:16:19.308945,
10.1111/emr.12524,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"1442-7001,1442-8903",1839-3330,Ecological Management & Restoration,Wiley,2022-01-01,2022,"Cross‐cultural collaboration leads to greater understanding of the rare Spectacled Hare‐wallaby in the west Kimberley, Western Australia",2022-02-17T01:27:23.390674,
10.1111/emr.12538,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"1442-7001,1442-8903",1839-3330,Ecological Management & Restoration,Wiley,2022-01-01,2022,"Empowering young Aboriginal women to care for Country: Case study of the Ngukurr Yangbala rangers, remote northern Australia",2022-02-17T01:26:14.693124,
10.1111/brv.12836,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"1464-7931,1469-185X",0006-3231,Biological Reviews,Wiley,2022-01-30,2022,Understanding the evolution of viviparity using intraspecific variation in reproductive mode and transitional forms of pregnancy,2022-10-17T02:35:32.683474,
10.1007/s11738-022-03366-x,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0137-5881,1861-1664",0137-5881,Acta Physiologiae Plantarum,Springer Science and Business Media LLC,2022-01-29,2022,Genetic diversity and population structure analysis to study the evolution of herbicide resistance in Echinochloa colona ecotypes in Australia,2022-01-29T21:02:36.899617,
10.5194/bg-19-491-2022,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1726-4189,1726-4170,Biogeosciences,Copernicus GmbH,2022-01-28,2022,Thirty-eight years of CO&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; fertilization has outpaced growing aridity to drive greening of Australian woody ecosystems,2022-11-19T05:17:07.233747,
10.11646/zootaxa.5057.4.1,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1175-5334,1175-5326",1175-5326,Zootaxa,Magnolia Press,2021-10-26,2021,A new hip-pocket frog from mid-eastern Australia (Anura: Myobatrachidae: Assa),2022-04-04T00:08:19.741698,
10.3897/rio.8.e81136,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2367-7163,2367-7163,Research Ideas and Outcomes,Pensoft Publishers,2022-01-26,2022,Biodiversity Community Integrated Knowledge Library (BiCIKL),2022-07-24T01:34:16.499472,
10.5209/mbot.73688,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2603-9109,2603-9109,Mediterranean Botany,Universidad Complutense de Madrid (UCM),2022-01-24,2022,New records of Asteraceae for the non-native flora of Tunisia and north Africa with some nomenclatural remarks,2022-11-22T04:17:55.245053,
10.1002/ece3.8538,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"2045-7758,2045-7758",2045-7758,Ecology and Evolution,Wiley,2022-01-01,2022,Intergrading reef communities across discrete seaweed habitats in a temperate–tropical transition zone: Lessons for species reshuffling in a warming ocean,2022-10-01T22:27:57.290094,
10.5334/cstp.358,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2057-4991,2057-4991,Citizen Science: Theory and Practice,"Ubiquity Press, Ltd.",2022-01-25,2022,A Citizen Science Community of Practice: Relational Patterns Contributing to Shared Practice,2022-09-11T10:29:32.521043,
10.1007/s11252-021-01187-3,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"1083-8155,1573-1642",1083-8155,Urban Ecosystems,Springer Science and Business Media LLC,2021-11-18,2021,Citizen science in cities: an overview of projects focused on urban Australia,2021-11-18T21:17:25.601291,
10.1002/ece3.7679,,,,2,TRUE,FALSE,journal-article,green,TRUE,TRUE,TRUE,"2045-7758,2045-7758",2045-7758,Ecology and Evolution,Wiley,2021-06-03,2021,Pollen DNA metabarcoding identifies regional provenance and high plant diversity in Australian honey,2022-10-27T07:06:11.886999,
10.1007/s10531-021-02264-x,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0960-3115,1572-9710",0960-3115,Biodiversity and Conservation,Springer Science and Business Media LLC,2021-08-11,2021,Scat DNA provides important data for effective monitoring of mammal and bird biodiversity,2021-08-11T21:05:13.562828,
10.1111/jvs.13018,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1100-9233,1654-1103",1100-9233,Journal of Vegetation Science,Wiley,2021-03-01,2021,Functional diversity of the Australian flora: Strong links to species richness and climate,2021-05-01T07:03:15.073235,
10.1111/jse.12731,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1674-4918,1759-6831",1759-6831,Journal of Systematics and Evolution,Wiley,2021-05-20,2021,Geographical vs. ecological diversification in <i>Carex</i> section <i>Phacocystis</i> (Cyperaceae): Patterns hidden behind a twisted taxonomy,2022-08-06T14:08:10.922990,
10.1111/emr.12445,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1442-7001,1442-8903",1839-3330,Ecological Management &amp; Restoration,Wiley,2021-01-01,2021,The conservation of arboreal marsupials in the Albury‐Wodonga region of south‐eastern Australia,2022-07-23T16:09:26.352685,
10.1111/icad.12493,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1752-458X,1752-4598",1752-458X,Insect Conservation and Diversity,Wiley,2021-03-12,2021,Limited understanding of bushfire impacts on Australian invertebrates,2021-07-07T22:44:14.854793,
10.1111/evo.14140,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0014-3820,1558-5646",0014-3820,Evolution,Wiley,2020-12-27,2020,Looks can be deceiving: speciation dynamics of co‐distributed <i>Angophora</i> (Myrtaceae) species in a varying landscape,2022-08-13T20:25:38.176103,
10.1111/ddi.13265,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"1366-9516,1472-4642",1366-9516,Diversity and Distributions,Wiley,2021-03-19,2021,High fire frequency and the impact of the 2019–2020 megafires on Australian plant diversity,2022-05-20T07:40:21.549962,
10.1111/aec.13029,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1442-9985,1442-9993",1442-9985,Austral Ecology,Wiley,2021-03-10,2021,Novel habitat associations and seasonality in threatened Mitchell’s water monitors ( Varanus mitchelli ): Implications for conservation,2021-03-11T21:07:07.245744,
10.1111/2041-210x.13593,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"2041-210X,2041-210X",2041-210X,Methods in Ecology and Evolution,Wiley,2021-04-01,2021,A standardisation framework for bio‐logging data to advance ecological research and conservation,2022-11-08T20:57:02.515437,
10.1080/01584197.2021.1925921,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"0158-4197,1448-5540",0158-4197,Emu - Austral Ornithology,Informa UK Limited,2021-04-03,2021,Genetic structure and gene flow in the Flame Robin (Petroica phoenicea),2022-08-15T11:44:49.244889,
10.1002/widm.1394,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"1942-4787,1942-4795",1942-4795,WIREs Data Mining and Knowledge Discovery,Wiley,2020-11-02,2020,"A survey of biodiversity informatics: Concepts, practices, and challenges",2022-07-30T02:40:07.526131,
10.1002/edn3.190,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,"2637-4943,2637-4943",2637-4943,Environmental DNA,Wiley,2021-02-27,2021,Estuarine fishes associated with intertidal oyster reefs characterized using environmental DNA and baited remote underwater video,2021-07-30T02:05:16.962683,
10.1002/ece3.7412,,,,2,TRUE,FALSE,journal-article,green,TRUE,TRUE,TRUE,"2045-7758,2045-7758",2045-7758,Ecology and Evolution,Wiley,2021-03-24,2021,Ecological impact assessment of climate change and habitat loss on wetland vertebrate assemblages of the Great Barrier Reef catchment and the influence of survey bias,2022-11-20T17:58:01.033271,
10.1002/ece3.7333,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"2045-7758,2045-7758",2045-7758,Ecology and Evolution,Wiley,2021-03-15,2021,The living heart: Climate gradients predict desert mountain endemism,2021-05-18T19:06:42.074169,
10.1016/j.ufug.2021.127186,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,1618-8667,1610-8167,Urban Forestry &amp; Urban Greening,Elsevier BV,2021-07-01,2021,Assessing the adaptability of urban tree species to climate change impacts: A case study in Shanghai,2022-09-25T04:12:51.763205,
10.1016/j.envsoft.2020.104806,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,1364-8152,1364-8152,Environmental Modelling &amp; Software,Elsevier BV,2020-10-01,2020,BILBI: Supporting global biodiversity assessment through high-resolution macroecological modelling,2022-09-11T03:33:59.770771,
10.1111/nph.17296,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"0028-646X,1469-8137",0028-646X,New Phytologist,Wiley,2021-04-14,2021,Evolving the structure: climatic and developmental constraints on the evolution of plant architecture. A case study in <i>Euphorbia</i>,2022-10-11T09:05:12.700968,
10.1111/nph.17395,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"0028-646X,1469-8137",0028-646X,New Phytologist,Wiley,2021-05-20,2021,Biogeography of global drylands,2022-10-21T00:22:07.424757,
10.1111/nph.17227,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0028-646X,1469-8137",0028-646X,New Phytologist,Wiley,2021-02-15,2021,Pollen sterols are associated with phylogeny and environment but not with pollinator guilds,2022-11-02T20:55:04.087992,
10.1111/nph.17443,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0028-646X,1469-8137",0028-646X,New Phytologist,Wiley,2021-06-05,2021,Grade of Membership models reveal geographical and environmental correlates of floristic structure in a temperate biodiversity hotspot,2022-08-13T20:25:15.515558,
10.1111/mec.15829,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"0962-1083,1365-294X",0962-1083,Molecular Ecology,Wiley,2021-05-04,2021,Genetic and phenotypic variation exhibit both predictable and stochastic patterns across an intertidal fish metapopulation,2022-06-23T10:35:05.109601,
10.1071/mf21057,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,1323-1650,1323-1650,Marine and Freshwater Research,CSIRO Publishing,2021-01-01,2021,"Flow to nowhere: the disconnect between environmental watering and the conservation of threatened species in the Murray–Darling Basin, Australia",2021-05-27T22:55:41.008696,
10.1111/mam.12249,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0305-1838,1365-2907",0305-1838,Mammal Review,Wiley,2021-04-07,2021,Climatic niche comparison of raccoons Procyon lotor and raccoon dogs Nyctereutes procyonoides in their native and non‐native ranges,2022-11-12T22:20:08.603642,
10.1111/gcb.15559,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1354-1013,1365-2486",1354-1013,Global Change Biology,Wiley,2021-03-11,2021,Reduction in the potential distribution of bumble bees (Apidae: <i>Bombus</i> ) in Mesoamerica under different climate change scenarios: Conservation implications,2022-07-22T08:56:22.419179,
10.1111/gcb.15006,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"1354-1013,1365-2486",1354-1013,Global Change Biology,Wiley,2020-02-14,2020,Stronger regional biosecurity is essential to prevent hundreds of harmful biological invasions,2022-01-29T21:29:27.023930,
10.7320/flmedit31.031,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,"1120-4052,2240-4538",1120-4052,Flora Mediterranea,Fondazione Pro Herbario Mediterraneo,2021-01-01,2021,"Two new Suaeda (Chenopodiaceae/Amaranthaceae, Suaedoideae) records from the Tunisian coastal areas with a key to species identification",2022-04-03T05:59:00.048318,
10.1111/ele.13787,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"1461-023X,1461-0248",1461-023X,Ecology Letters,Wiley,2021-06-18,2021,Seasonal spatial dynamics of butterfly migration,2021-06-18T21:03:13.546823,
10.1002/eap.2379,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"1051-0761,1939-5582",1051-0761,Ecological Applications,Wiley,2021-07-08,2021,Landscape analyses using eDNA metabarcoding and Earth observation predict community biodiversity in California,2022-09-28T01:23:34.755091,
10.1007/s10531-020-02057-8,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0960-3115,1572-9710",0960-3115,Biodiversity and Conservation,Springer Science and Business Media LLC,2020-10-06,2020,A data-driven evaluation of lichen climate change indicators in Central Europe,2021-01-15T14:51:27.030117,
10.1007/s10531-021-02198-4,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0960-3115,1572-9710",0960-3115,Biodiversity and Conservation,Springer Science and Business Media LLC,2021-05-26,2021,Modelling potential Pleistocene habitat corridors between Afromontane forest regions,2021-05-26T21:02:30.657211,
10.1071/am20060,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0310-0049,0310-0049,Australian Mammalogy,CSIRO Publishing,2021-01-01,2021,Targeted survey for the eastern quoll (Dasyurus viverrinus) in the Nungatta and Yambulla areas of southern New South Wales,2021-04-14T21:04:43.736642,
10.1071/zo20062,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0004-959X,0004-959X,Australian Journal of Zoology,CSIRO Publishing,2020-01-01,2020,Comparative survey techniques for a cryptic Australian snake (Hoplocephalus bitorquatus),2021-06-23T17:52:34.907092,
10.1071/bt20029,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0067-1924,0067-1924,Australian Journal of Botany,CSIRO Publishing,2021-01-01,2021,Semi-supervised delineation of riparian Macrogroups in plot deficient regions within eastern Australia using generalised dissimilarity modelling,2021-04-29T21:32:46.703552,
10.1111/aec.13034,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1442-9985,1442-9993",1442-9985,Austral Ecology,Wiley,2021-04-19,2021,Co‐producing a fire and seasons calendar to support renewed Indigenous cultural fire management,2021-10-18T04:35:03.492563,
10.1101/2021.04.09.439199,,,,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2021-04-10,2021,A global phylogenetic regionalisation of vascular plants reveals a deep split between Gondwanan and Laurasian biotas,2021-04-20T06:47:15.076298,
10.1007/s10530-021-02474-y,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1387-3547,1573-1464",1387-3547,Biological Invasions,Springer Science and Business Media LLC,2021-03-06,2021,Altitudinal distribution of the entire invasive small mammal guild in the eastern dryland zone of New Zealand’s Southern Alps,2021-03-07T21:08:36.290706,
10.11646/phytotaxa.501.2.1,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1179-3163,1179-3155",1179-3155,Phytotaxa,Magnolia Press,2021-05-20,2021,<p><strong>Checklist of Kilimanjaro grasses shows that both plot and herbarium methods are necessary to record diversity</strong></p>,2022-07-18T09:16:22.993533,
10.1111/ecog.05593,,,,2,TRUE,FALSE,journal-article,green,TRUE,TRUE,TRUE,"0906-7590,1600-0587",0906-7590,Ecography,Wiley,2021-05-11,2021,Warming threatens habitat suitability and breeding occupancy of rear‐edge alpine bird specialists,2022-09-03T17:11:01.479067,
10.1111/ddi.13282,,,,2,TRUE,FALSE,journal-article,green,TRUE,TRUE,TRUE,"1366-9516,1472-4642",1366-9516,Diversity and Distributions,Wiley,2021-05-04,2021,Vertebrate responses to human land use are influenced by their proximity to climatic tolerance limits,2022-11-18T19:39:56.510348,
10.1016/j.foreco.2021.119194,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0378-1127,0378-1127,Forest Ecology and Management,Elsevier BV,2021-07-01,2021,Variability in climate-growth reaction of Robinia pseudoacacia in Eastern Europe indicates potential for acclimatisation to future climate,2021-04-29T21:06:02.149618,
10.1007/s10764-021-00223-5,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0164-0291,1573-8604",0164-0291,International Journal of Primatology,Springer Science and Business Media LLC,2021-05-27,2021,The Risks of Yellow Fever to Asian Primates,2021-05-27T21:03:11.108866,
10.1101/2021.05.14.444160,,,,2,TRUE,FALSE,posted-content,green,TRUE,FALSE,FALSE,NA,NA,NA,Cold Spring Harbor Laboratory,2021-05-16,2021,The diversification of Pterocarpus (Leguminosae: Papilionoideae) was influenced by biome-switching and infrequent long-distance dispersal,2021-11-09T17:06:49.446301,
10.1111/ddi.13300,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"1366-9516,1472-4642",1366-9516,Diversity and Distributions,Wiley,2021-05-30,2021,Static species distribution models in the marine realm: The case of baleen whales in the Southern Ocean,2021-06-12T14:39:38.314206,
10.1111/geb.13315,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"1466-822X,1466-8238",1466-822X,Global Ecology and Biogeography,Wiley,2021-05-21,2021,Snow information is required in subcontinental scale predictions of mountain plant distributions,2022-08-30T13:13:11.510317,
10.3390/d13040169,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1424-2818,1424-2818,Diversity,MDPI AG,2021-04-15,2021,Temperature and Prey Species Richness Drive the Broad-Scale Distribution of a Generalist Predator,2022-05-05T14:26:28.085078,
10.3389/fmars.2021.622721,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,2296-7745,2296-7745,Frontiers in Marine Science,Frontiers Media SA,2021-05-13,2021,Responses of Southern Ocean Seafloor Habitats and Communities to Global and Local Drivers of Change,2022-10-06T04:09:08.037471,
10.1111/ddi.13303,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"1366-9516,1472-4642",1366-9516,Diversity and Distributions,Wiley,2021-06-03,2021,Predicting current and future global distribution of invasive <i>Ligustrum lucidum</i> W.T. Aiton: Assessing emerging risks to biodiversity hotspots,2022-10-16T17:06:05.759025,
10.1016/j.landurbplan.2021.104122,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,0169-2046,0169-2046,Landscape and Urban Planning,Elsevier BV,2021-09-01,2021,Piecing together cities to support bird diversity: Development and forest edge density affect bird richness in urban environments,2021-04-29T21:08:39.026836,
10.1111/mec.15992,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"0962-1083,1365-294X",0962-1083,Molecular Ecology,Wiley,2021-06-04,2021,Phylogeographic analysis of shrubby beardtongues reveals range expansions during the Last Glacial Maximum and implicates the Klamath Mountains as a hotspot for hybridization,2022-09-26T01:48:40.280203,
10.1073/pnas.2022302118,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0027-8424,1091-6490",0027-8424,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,2021-05-03,2021,Phylogenomic and ecological analyses reveal the spatiotemporal evolution of global pines,2022-07-29T17:13:29.281409,
10.1111/jbi.14128,,,,2,TRUE,FALSE,journal-article,hybrid,TRUE,FALSE,FALSE,"0305-0270,1365-2699",0305-0270,Journal of Biogeography,Wiley,2021-05-08,2021,"Niche evolution reveals disparate signatures of speciation in the ‘great speciator’ (white‐eyes, Aves: Zosterops )",2022-10-02T05:57:55.640805,
10.1007/s10530-021-02528-1,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1387-3547,1573-1464",1387-3547,Biological Invasions,Springer Science and Business Media LLC,2021-04-20,2021,Native range climate is insufficient to predict anuran invasive potential,2021-04-21T01:11:08.022112,
